ID,category,model_name,source_url
59,cap,cap5,https://sketchfab.com/3d-models/dippers-cap-6b247c088f034d09908d4ee78c39dd18
60,cap,cap6,https://sketchfab.com/3d-models/pokemon-masters-cap-892e724659c44d6c8771252523075b54
61,cap,cap7,https://sketchfab.com/3d-models/white-tennis-cap-868f6de838154a53a1201dac14f04244
62,cabinet,cabinet1,https://sketchfab.com/3d-models/cabinet-0bcc6d3f15b8458f8b316204ea0dcdb0
63,cabinet,cabinet2,https://sketchfab.com/3d-models/display-cabinet-0d34cce752924775bae735e3bc9b9645
64,cabinet,cabinet3,https://sketchfab.com/3d-models/the-curiosity-cabinet-diorama-1aac8bb4afe64eed841bc3b16a0dc45e
65,cabinet,cabinet4,https://sketchfab.com/3d-models/kilburn-tall-cabinet-2b343edc50c34cf1b7a292a8976cc1d3
66,cabinet,cabinet5,https://sketchfab.com/3d-models/vintage-cabinet-38f968825cf749ae8e485ca014a32be0
67,chair,chair1,https://sketchfab.com/3d-models/tesa-chair-26fc90a2236f450bac2c7f133797c78d
68,chair,chair2,https://sketchfab.com/3d-models/verito-solid-wood-arm-chair-free-download-047ef366f63c4f269e40b430c57fd3fa
69,chair,chair3,https://sketchfab.com/3d-models/office-chair-208047ef263c40ffae5c6a04bdfa7976
70,chair,chair4,https://sketchfab.com/3d-models/saloni-chair-2a26a4fd23fe42fdaf591e6652131310
71,chair,chair5,https://sketchfab.com/3d-models/chair-b5ecdb6253a7454c916954bef6c10251
72,chair,chair6,https://sketchfab.com/3d-models/basic-chair-a-241a874ac60b4c948ba7ea745a66d652
73,chair,chair7,https://sketchfab.com/3d-models/cover-chair-86c6d5e7bb954a949b9977decbd3009b
74,chair,chair8,https://sketchfab.com/3d-models/low-poly-chair-39366aaf68cd4d3cad5eb75f89f854a9
75,chair,chair9,https://sketchfab.com/3d-models/sofa-chair-0e8e009f398249b9bc13e8ff7078530a
76,chair,chair10,https://sketchfab.com/3d-models/fashion-chair-54db5706825a4dc9bf0e459a1e343e54
77,chair,chair11,https://sketchfab.com/3d-models/steel-back-chairs-antique-blue-752954ca57af4f3e89c890dda630aa6d
78,chair,chair12,https://sketchfab.com/3d-models/victorian-chair-7dbbf8b821314967aaba5cde22a02a3d
79,chair,chair13,https://sketchfab.com/3d-models/office-chair-modern-675f34f7304e4d92812a41e9750539aa
80,chair,chair14,https://sketchfab.com/3d-models/chair-low-poly-3775963c1d6d4ba1b37956a4fb423add
81,candle,candle1,https://sketchfab.com/3d-models/candle-low-poly-free-05c17c9d87814de39a18f2c5c7cba17b
82,candle,candle2,https://sketchfab.com/3d-models/the-tavern-candlestick-2-0906b4391bc2490098dbb009e783a699
83,candle,candle3,https://sketchfab.com/3d-models/candle-22aa8ea930ef4ac79b7bac03e1ae41ef
84,candle,candle4,https://sketchfab.com/3d-models/candle-2a90bd5abf4248c7b023a15881b2d780
85,candle,candle5,https://sketchfab.com/3d-models/candlestick-39c5742fa32c4f0dbe386bf968c94514
86,candle,candle6,https://sketchfab.com/3d-models/candle-stand-e2688126f09b444bb8f0dd4543499fef
87,candle,candle7,https://sketchfab.com/3d-models/spiral-candle-holder-4be294ecbf074c7ebf15bead28fcadac
88,candle,candle8,https://sketchfab.com/3d-models/candlestick-507d0fbde5bf4f559ed1f0f27b9c62f6
89,candle,candle9,https://sketchfab.com/3d-models/small-candle-stand-ac9e66f86f664364a88d5626f154cfc3
90,candle,candle10,https://sketchfab.com/3d-models/candle-holder-emplgk-1b-acfb980079d548f08145f80a984bcd4e
91,cat_and_dog,cat1,https://sketchfab.com/3d-models/the-cats-body-04ae93d572904be8b7d53a6ccb71c433
